Date,HomeTeam,AwayTeam,HomeAverageAge,AwayAverageAge,HomeAverageValue,AwayAverageValue
16/08/2008,Arsenal,West Brom,23,25,10500000,3045454
16/08/2008,Bolton,Stoke,26,27,4045454,2036363
16/08/2008,Everton,Blackburn,26,27,8400000,4690909
16/08/2008,Hull,Fulham,28,28,2918181,3836363
16/08/2008,Middlesbrough,Tottenham,24,24,4227272,10090909
16/08/2008,Sunderland,Liverpool,26,26,5045454,18636363
16/08/2008,West Ham,Wigan,25,26,5645454,1727272
17/08/2008,Aston Villa,Man City,27,22,8527272,8222727
17/08/2008,Chelsea,Portsmouth,27,28,20772727,9477272
17/08/2008,Man United,Newcastle,27,25,15690909,7700000
23/08/2008,Blackburn,Hull,27,26,4690909,3081818
23/08/2008,Fulham,Arsenal,29,24,3609090,11318181
23/08/2008,Liverpool,Middlesbrough,26,24,22409090,4390909
23/08/2008,Newcastle,Bolton,25,26,7700000,4045454
23/08/2008,Stoke,Aston Villa,28,27,1845454,8527272
23/08/2008,Tottenham,Sunderland,24,26,10590909,4699999
23/08/2008,West Brom,Everton,24,24,3381818,8386363
24/08/2008,Man City,West Ham,23,25,10018181,5645454
24/08/2008,Wigan,Chelsea,27,27,1727272,23954545
25/08/2008,Portsmouth,Man United,27,27,9072727,16409090
30/08/2008,Arsenal,Newcastle,24,26,10136363,5018181
30/08/2008,Bolton,West Brom,27,24,2945454,3227272
30/08/2008,Everton,Portsmouth,25,27,8454545,9072727
30/08/2008,Hull,Wigan,26,26,2595454,2000000
30/08/2008,Middlesbrough,Stoke,24,28,4527272,1845454
30/08/2008,West Ham,Blackburn,25,28,5645454,4863636
31/08/2008,Aston Villa,Liverpool,27,25,8527272,19909090
31/08/2008,Chelsea,Tottenham,28,23,22454545,10000000
31/08/2008,Sunderland,Man City,25,24,4818181,8036363
13/09/2008,Blackburn,Arsenal,27,24,4872727,9681818
13/09/2008,Fulham,Bolton,28,27,3836363,2945454
13/09/2008,Liverpool,Man United,26,27,17045454,23681818
13/09/2008,Man City,Chelsea,24,27,9054545,20454545
13/09/2008,Newcastle,Hull,25,26,4972727,3045454
13/09/2008,Portsmouth,Middlesbrough,27,24,9072727,3918181
13/09/2008,West Brom,West Ham,25,26,3527272,4318181
13/09/2008,Wigan,Sunderland,26,26,2000000,5318181
14/09/2008,Stoke,Everton,28,25,2309090,10027272
15/09/2008,Tottenham,Aston Villa,23,27,11954545,8527272
20/09/2008,Blackburn,Fulham,26,28,4618181,3836363
20/09/2008,Bolton,Arsenal,27,24,2918181,7272727
20/09/2008,Liverpool,Stoke,26,29,23000000,2145454
